<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 64 >	32 Ónhka ne iah thiekaié:ri tsi nihonaterièn:tare' enhonníheie' né: tsi iah thahatiié:na' ne attokháhtshera'
<MOH id = 65 >	Nón:kwe ne iah tha'teiako'nikonhráthe' enhontkarón:ni' né: tsi iah othé:nen tha'tehona'nikónhrhare'.
<MOH id = 66 >	33 Ónhka ká:ti' enhakwatahónhsatate' enhoién:take' ne enhoia'tahníhrha'. Skén:nen tsi enhanonhtonniónheke' iah othé:nen thahatshahníhseke'."
<MOH id = 67 >	
<MOH id = 68 >	
<MOH id = 69 >	Tewaterihwa'serakwáhtha' Attokháhtshera'
<MOH id = 70 >	2 Konièn:'a, satéweienst tsi nahò:ten' enkonrihónnien' tánon' tóhsa nonwén:ton sasa'nikónhrhen tsi nahò:ten' enkonhró:ri' tsi nénhsiere'. 
<MOH id = 71 >	2 Satahónhsatat tsi nahò:ten' wattokhahtsherí:io tánon' sate'nién:ten naiesa'nikonhraién:ta'ne'. 
<MOH id = 72 >	3 Hen, tesatshá:rit ne karihonnienníhtshera' se'né:ken ne ka'nikonhraientáhtshera'.
<MOH id = 73 >	4 É:so tsi sé:sak tsi shí:ken ní:ioht tóka' kahwistarà:ken tóka' ni' ahsetshén:ri' ne wahsehtánion atsho'kowáhtshera'. 
<MOH id = 74 >	5 Tóka' tho nénhsiere', ensaterièn:tara'ne' nahò:ten' kén:ton nahtshetshà:ni'ke' ne Roiá:ner, tánon' ensaterihwahténtia'se' nahtshientéhrha'ne' ne Rawenní:io. 
<MOH id = 75 >	6 Né: tsi Roiá:ner thatkà:was attokháhtshera' raónha ò:ni' thatkà:was karihonnienníhtshera' tánon' ka'nikonhraientáhtshera'. 
<MOH id = 76 >	7 Raónha thatkà:was kaia'takehnháhtshera' tánon' enhshakonónhstate' ne ronwarihwakweniénhstha' tánon' ne tiakorihwaié:ri.
<MOH id = 77 >	8 Enhshakonónhstate' ne ónhka akò:ren enhshekwénienhste' tánon' entehshakóhnhe' ne ónhka ronwarihwanorónhkhwa'.
<MOH id = 78 >	9 Tóka' enhskwatahónhsatate', ensaterièn:tara'ne' nahò:ten' tkaié:ri sha'ténhsiere' tánon' ne tkarihwaié:ri. Ensaterièn:tara'ne' tsi nénhsiere'. 
<MOH id = 79 >	10 Enhsattókha'ne' tánon' karihonnienníhtshera' entí:son' ò:ni' atonhnhahráhtshera'.
<MOH id = 80 >	 
<MOH id = 81 >	****** Result for Image/Page 5 ******

<MOH id = 84 >	11 Tsi ní:ioht tsi aiesa'nikonhraién:ta'ne' nè:'e ensanónhstate'.
<MOH id = 85 >	12 Ensaia'takéhnha' ne tóhsa tho náhsiere' tsi nahò:ten' iah tetkaié:ri. Ensaia'tohtáhrho' tsi nón:we rón:ne's nón:kwe ne tehon'nikonhrháhrha' tsi nahò:ten' enhonnì:ron' — 
<MOH id = 86 >	13 né:ne ónhka iakotkà:wen ne ioterihwakwaríhsion tho enhati'terón:take' tsi nón:we tetiò:karas tánon' karihwaneren'èn:ke, 
<MOH id = 87 >	14 nónhka ietshénrie's nate'nikonhroriáhtshera' tánon' iakaon'wéskwani nahò:ten' iah tetkaié:ri, iah othé:nen ki' tekari'wáhsta, 
<MOH id = 88 >	15 tánon' iah thaón:ton' nahsheniáhese' nónhka iah tetionkwe'taié:ri.
<MOH id = 89 >	16 Enhskwé:ni' enhsì:ron' iah nó:nen ne ión:kwe iorihwanera'ákskon tsi ní:ioht tsi enwatá:ti' kawennaweiénhon tsi ní:ioht tsi aontesa'nikonhratihéntho', enwate'nién:ten' karihwaneren'èn:ke niaiesaia'ténhawe', 
<MOH id = 91 >	17 ro'nikonhrha'tén:ni ne ró:ne, tánon' tso'nikónhrhens tsi iorihwahnirá:ton sha'óniake'.
<MOH id = 92 >	18 Tóka' aonónhskon nienhénhse' sathahitáhkhe' ne kenhé:ion. Tóka' tho nienhénhse' tentisáterahte' tsi nón:we iehoné:non ne ronenhé:ion. 
<MOH id = 93 >	19 Nè:'e ónhka ienkonwanatahré:nahse', iah ki' nonwén:ton tha'taontaiónhkete', iah nonwén:ton thiaonsà:rawe' tsi nón:we tioháhonte' ne ronnónhnhe'. 
<MOH id = 94 >	20 Ne ká:ti' ahsatenonwará:ko' ne tionkwe'taié:ri's nón:kwe tho ní:ioht tsi ahsónhnheke' tsi ní:ioht ne rotirihwakwaríhsion. 
<MOH id = 95 >	21 Nón:kwe ne rotirihwakwaríhsion tánon' thotirihwaié:ri enhonnónhnheke' tsi nón:we niionhwentsá:te' nitewanákere'. 
<MOH id = 96 >	22 Rawenní:io entehshakoia'tatihéntho' ne ionkwe'tahétken tsi ionhwentsá:te' tánon' ne rotirihwanera'ákskon tsi ní:ioht ne ahahén:tako' nè:'e kahontáksen's. 
<MOH id = 97 >	
<MOH id = 98 >	Iako’nikonhrá:wis ne Ken' Nithotiién:sa/Nithotiiòn:sa
<MOH id = 99 >	3 Konièn:'a tóhsa sasa'nikónhrhen tsi nahò:ten' enkonrihónnien'. Tiótkon sehià:rak tho náhsiere' tsi nahò:ten' enkonhró:ri'. 
<MOH id = 100 >	2 Tsi nahò:ten' enkonrihónnien', karì:wes enhsónhnheke' tánon' ensakwátshe'ne'. 
<MOH id = 101 >	3 Tóhsa nonwén:ton Sátka'wh ne ioiánere' tsi nihsheiatierà:se' nonkwehshòn:'a tánon' sarihwatokénhak. Shwánerenk seniarà:ke, tánon' serià:ne shiá:ton.

<MOH id = 104 >	 
<MOH id = 105 >	****** Result for Image/Page 6 ******

<MOH id = 109 >	4 Tóka' tho nénhsiere', Rawenní:io tánon' nonkwehshòn:'a kwah í:ken tsi enhonerien'tí:io'.
<MOH id = 110 >	5 Tsheniáhes Roiá:ner akwáh seriahsakwé:kon. Tóhsa nonwén:ton í:se' satateniáhes tsi nahò:ten' íhsehre' saterièn:tare'.
<MOH id = 111 >	6 Tshehià:rak ne Roiá:ner, akwé:kon tsi nenhsatieránion' tánon' enhiana'tón:hahse' tsi nahò:ten' tkaié:ri. 
<MOH id = 112 >	7 Tóhsa nonwén:ton sanonhtonniónhak í:se' ken sénha sattókha'. Kwah nek ne tahtshéhtahkw ne Roiá:ner, tánon' tóhsa sathón:tat ken' niáhsiere' nahò:ten' iah tetkaié:ri. 
<MOH id = 113 >	8 Tóka' tho náhsiere', kwah né:ne tó:k nikanonhkwa'tsherí:io naonsonnihnón:ni' tsi sakarewáhton tánon' kà:ron nenhseronhiá:ken'. 
<MOH id = 114 >	9 Tshisewakweniénhsthak ne Roiá:ner aontáhtshon' ne kwah tioiánere' tsi nahò:ten' saienthókwen. 
<MOH id = 115 >	10 Tóka' tho nénhsiere' tsi ieientáhkhwa' ne ká:nen tentkà:rake tánon' só:tsi é:so ensahnekaién:ta'ne' otsì:tsa' sok iah thaón:ton' akwé:kon ahsateweièn:ton'.
<MOH id = 116 >	11 Konièn:'a nó:nen Roiá:ner tenhiawénne'ke' satahonhsí:iohst tsi wahiahronkà:ten'. 
<MOH id = 117 >	12 Shakorihwakwarihsién:nis ne Roiá:ner nónhka shakonorónhkhwa' ne ká:ti' shà:ka nónhka iakowí:raien shakotinorónhkhwa' enhshakotirihwakwaríhsien'.
<MOH id = 118 >	13 Iakotonhnháhere' nónhka aieié:na' nattokháhtshera', aieié:na' ò:ni' ka'nikonraientáhtshera'. 
<MOH id = 119 >	14 Ne sénha é:so sha'tékena attokháhtshera' tsi ní:ioht kahwistarà:ken; sénha ne é:so sha'tékena ní:se' sarihwà:ke tsi ní:ioht ne ohwistanó:ron.
<MOH id = 121 >	15 Attokháhtshera' sénha é:so sha'tékena tsi ní:ioht nohwistanoron'shòn:'a; iah othé:nen tha'taiesatonhwéntsohse' ne táhseren'. 
<MOH id = 122 >	16 Attokháhtshera' tiakó:wis naiakonhnhé:son tánon' kakwenienhstáhtshera' tánon' kakwatshéhsera'.
<MOH id = 123 >	17 Attokháhtshera' entkáhawe' ne ion'wé:sen tsi ahsónhnheke' eh tho niensaia'ténhawe' tsi nón:we aiesaia'tanónhstate' tsi tahsatóhetste'. 
<MOH id = 124 >	18 Nónhka aieié:na' attokháhtshera' ronatonhnháhere'; attokháhtshera' entiakó:ion' natónhnhets.
<MOH id = 125 >	19 Raottokháhtshera' ne Roiá:ner wahronhwentsísa'; né: tsi niho'nikonhrowá:nen waható:kenhste' tsi karonhiatátie'.
<MOH id = 126 >	 
<MOH id = 127 >	****** Result for Image/Page 7 ******

<MOH id = 130 >	20 Raottokháhtshera' takáhawe' tsi kaniataratátie' tánon' ioronhiarátie' otsikera'shòn:'a entkáhawe' naiokén:nore' nonhwentsà:ke.
<MOH id = 131 >	21 Konièn:'a saienawa'kónhak ne sattokháhtshera' tánon' ne saka'eniónhtshera'. Tóhsa nonwén:ton sá:ti. 
<MOH id = 132 >	22 Ne entiesá:ion' ne satónhnhets naion'wesénhake' tánon' aiesatonhnhà:rake'.
<MOH id = 133 >	23 Skén:nen tsi enhsahtén:ti' tánon' iah nonwén:ton thé:nen tha'taiesahniotá:ko'. 
<MOH id = 134 >	24 Iah thaiesáhteron'ne' ne nó:nen ensentà:wha', tánon' ensaserentí:io'ne' ne tsi niwahsón:tes ensén:ta'we'. 
<MOH id = 136 >	25 Tóhsa tesatate'nikonhrhá:ren ne thaontaiawénhstsi' ne atkaronniáhtshera' aontá:we' tsi ní:ioht ne takaweratá:se' ne ahotí:ra'ne' ne rotirihwanera'ákskon.
<MOH id = 137 >	26 Roiá:ner enhiaia'tanónhstate'. Iah thahathón:tate' ne iahsià:ten'ne' tsi nón:we tewaterístaien.
<MOH id = 138 >	27 Nó:nen ensate'shennaién:ta'ne' sheia'takéhnha nónhka teiotonhwentsóhon. 
<MOH id = 139 >	28 Tóhsa nonwén:ton ne tetsanonhsané:ken tsì:ron "Satehrhá:rat tsik enióhrhen'ne', " tóka' sakwénion ne óksa'k ahsheia'takéhnha'. 
<MOH id = 140 >	29 Tóhsa othé:nen serihwísa nahò:ten' nahshekaré:wahte' ne tesewanonhsané:ken né: tsi iesaniahé:sen.
<MOH id = 141 >	30 Tóhsa ónhka tesewari'wakéhnha akohrèn:shon ne iah othé:nen thia'teioríhonte' ase'kénh ní:se' iah nonwén:ton teiesakaronnì:'on. 
<MOH id = 142 >	31 Tóhsa sheiaten'kéhwhahs ne ionkwe'táksen's tóka' ò:ni' ahsate'nikonhrísa' tho náhsiere' tsi nihontiéhrha'.
<MOH id = 143 >	32 Né: tsi ne Roiá:ner ráhswens nónhka iah tetiakorihwaié:ri nok ne tionkwe'taié:ri kwah otokèn:'en tsi entehshakawéhtahkwe'. 
<MOH id = 144 >	33 Roiá:ner enhà:ren' kahrewahtáhtshera' tsi nón:we nihatì:teron ne rotirihwanera'ákskon nok enhaia'taté:rihste' tsi ratì:teron ne tionkwe'taié:ri 
<MOH id = 145 >	34 Iah othé:nen tehshakoniahé:sen ne iená:ie' nok shakorihwakweniénhstha' nónhka iakoniténhton. 
<MOH id = 146 >	35 Nón:kwe ionttokhahtsherí:io eniontatshennakará:tate' nok nónhka iah teionttókha' nek nen' nè:'e eniontatshennáksa'te.
<MOH id = 147 >	 
<MOH id = 148 >	****** Result for Image/Page 8 ******

<MOH id = 153 >	Iakoia'takéhnhas Attokháhtshera'
<MOH id = 154 >	4 Kwaien'okòn:'a sewatahónhsatat tsi nahò:ten' ne ia'níha enhiarihónnien'. Sewatahonhsí:iohst thó:ne ensewa'nikonhraién:ta'ne'. 
<MOH id = 155 >	2 Tsi nahò:ten' kwarihonnién:ni ioiánere', sewehià:rak ká:ti' akwé:kon. 
<MOH id = 156 >	3 Né:ne shikeksà:'a ì:'i khok rohsken'rakéhte' rotiwiraién:tahkwe'. 
<MOH id = 157 >	4 Rake'níha rakerihonnién:ni, wahèn:ron', "Sehià:rak tsi nahò:ten' enkì:ron' tánon' tóhsa nonwén:ton sasa'nikónhrhen. Tho nà:tser nahò:ten' enkonhró:ri' tánon' enhsónhnheke'. 
<MOH id = 158 >	5 Saién:ta'n ne attokháhtshera' tánon' iekaka'eniónhon! Tóhsa sasa'nikónhrhen tóka' ò:ni' é:ren ahshá:wihte' tsi nahò:ten' wa'kì:ron'. 
<MOH id = 159 >	6 Tóhsa satewén:teht ne attokháhtshera' eniesaia'takéhnha'; shenorónhkhwak tánon' eniesanónhstate'. 
<MOH id = 160 >	7 Naiesaién:ta'ne' ne attokháhtshera' nè:'e aonhà:'a tiorihowá:nen tsi nénhsiere'. Tóka' ó:ia''' nahò:ten' aiesaién:ta'ne', ne ki' saién:ta'n ne iekaka'eniónhon. 
<MOH id = 161 >	8 Senó:ronhkw attokháhtshera', nè:'e ensahsennó:wanahte'. Tsé:na tánon' entí:son kakwenienhstáhtshera'. 
<MOH id = 162 >	9 Í:se' enhsié:na' ne kaia'tanehrakwáhtshera'. "
<MOH id = 163 >	10 Satahónhsatat, konièn:'a. Kwah tokèn:'en tsé:na tsi nahò:ten' konhró:ris, karì:wes enhsónhnheke'. 
<MOH id = 164 >	11 Wa'konrihónnien' ne attokháhtshera' tánon' tkaié:ri tsi ní:ioht tsi ahsónhnheke'.
<MOH id = 165 >	12 Iah othé:nen thaiesathrohóhsten' tsi sathahí:ne' tóka' sarihwakwaríhsion, tánon' iah thaontesahsì:tia'ke' nó:nen tenhsaráhtate'. 
<MOH id = 166 >	13 Tiótkon sehià:rak tsi nahò:ten' wahseweientéhta'ne'. Kaweientehtáhtshera' nè:'e ensonhnhéhkwen — senónhstat ká:ti'.
<MOH id = 167 >	14 Tóhsa tho nón:we iahà:se tsi nón:we iehonnéhtha' ne rotirihwanera'ákskon. Tóhsa ne shéhsehr tsi nihatiweiennò:ten' ne iah tethotirihwaié:ri. 
<MOH id = 168 >	15 Tóhsa tho nà:tser! Satatia'tohtáhrho tsi nón:we iah tetkaié:ri! Tóhsa tsé:na ne io'táksen! Kwah nek ne tesatháhahkw. 
<MOH id = 169 >	16 Rotirihwanera'ákskon iah thahatikwé:ni' nahotí:ta'we' tsik thé:nen nenhóntiere' ne iah tetkaié:ri. Ratiia'tión:ni tánon' iah tehotí:ta's né: tsi iah ónhka tehshakotikarewáhton. 
<MOH id = 170 >	17 Rón:nehre' karihwaksénhtshera' tánon' ateriiohsera'ón:we nè:'e shà:ka ne kákhwa' tánon' nahò:ten' ahatihnekì:ra'.
<MOH id = 171 >	 
<MOH id = 172 >	****** Result for Image/Page 9 ******

<MOH id = 175 >	18 Kí:ken oháha' ronthahí:ne' thotirihwaié:ri tho ní:ioht tsi shí:ken takarahkwíneken'ne', sénha teiohswathe'onhátie' tsi niió:re entiehkè:ne én:wawe'. 
<MOH id = 176 >	19 nè:'e raotiháha' nè:'e rotirihwanéren tho na'tetiò:karas tsi ní:ioht nahsonthèn:ne nè:'e tenhatihra'kwénhtara'ne' né: tsi iah thahóntkahtho' nahò:ten' tahonahsì:tia'ke'.
<MOH id = 177 >	20 Konièn:'a satahonhsí:iohst tsi nahò:ten' enkì:ron'. Satahónhsatat nakewenna'shòn:'a. 
<MOH id = 178 >	21 Tóhsa nonwén:ton sasa'nikónhrhen. Sehià:rak tánon' serià:ne sateweièn:ton. 
<MOH id = 179 >	22 Akewenna'shòn:'a entkáhawe' natónhnhets tánon' ata'karitéhtshera' ne ónhka eniako'nikonhraién:ta'ne'. 
<MOH id = 180 >	23 Se'nikòn:rarak tsi ní:ioht tsi sanonhtónnion; tsi sónhnhe' ne kaieronnítstha' tsi ní:ioht tsi sanonhtonniónkwas. 
<MOH id = 181 >	24 Tóhsa nonwén:ton tsì:ron nahò:ten' iah tó:kenske té:ken, tóhsa thé:nen satsté:rihst nahò:ten' ne onó:wen tánon' ne owenna'shòn:'a naiesathaharákwahte'. 
<MOH id = 182 >	25 Énska tsi nón:we ia'satkáhtho sa'nikonhrahnirónhak tsi sarihwakwaríhsion; tóhsa tasateniá:renht nahsatéhen'. 
<MOH id = 183 >	26 Ioianeréhak tsi ní:ioht tsi enhsate'nikonhrísa' tánon' tsi nenhsátiere' akwé:kon entkaié:ri'ne'.
<MOH id = 184 >	27 Satatia'tohtáhrho ne karihwanéren tánon' iottakwarihsiónhak tsi sahtén:ti. Tóhsa ò:ni' ne tso'kháha ákte' nahsahtén:ti' tsi nón:we niiohahí:io.
<MOH id = 185 >	
<MOH id = 186 >	Wathró:ris Tsi Iah Tetkaié:ri Ne Aienahkwénhawe'
<MOH id = 187 >	5 Konièn:'a, satahonhsí:iohst tánon' satahónhsatat nakwattokháhtshera' tánon' iekaka'eniónhon. 
<MOH id = 188 >	2 Thó:ne ó:nen ensató:kenhse' tsi ní:ioht tsi ahsatoriahnerón:ko' ne tkaié:ri, tánon' ne sawén:na' enwathró:ri' tsi nisa'nikonhrowá:nen.
<MOH id = 189 >	3 Tóka' nakò:ren ró:ne tahshakonoronhkwánion' tóka' nòn:wa tho na'teiotsikhè:tare' tsi ní:ioht ne óshes tánon' tenhonwanoronhkwánion' tho ní:ioht nè:'e na'teiotsikhè:tare',
<MOH id = 190 >	4 nok ki' nó:nen enwateweienén:ta'ne' nek ki' ia'teniotá:tere' ne iotská:ra tánon' ne karonhiakénhsera'. 
<MOH id = 191 >	5 Tho nón:we iensaia'ténhawe' tsi nón:we tionhwentsá:te' ne kenhé:ion; tho nón:we niiothahitáhkhe' tsi nón:we ne kenheià:thne. 
<MOH id = 192 >	6 Iah tho nón:we teiothahitáhkhe' tsi nón:we ne ionhnhe'ón:we; wathaharákwas, tánon' iah teioterièn:tare' oh niiawen'enhátie'.
<MOH id = 193 >	 
<MOH id = 194 >	****** Result for Image/Page 10 ******

<MOH id = 197 >	7 Sewatahónhsatat kwaien'okòn:'a tóhsa nonwén:ton sewa'nikónhrhen tsi nahò:ten' ká:ton. 
<MOH id = 198 >	8 É:ren íseweht kí:ken nikaia'tò:ten! Tóhsa nonwén:ton tsi kèn:teron niahà:sewe'!
<MOH id = 199 >	9 Tóka' tho nienhénsewe', akò:ren ientséhawe' ne kakwenienhstáhtshera' ne í:se' sewawenhkénha, ò:ni' ne ken' nitisewaièn:sa tsi ensewénheie' ne enhatirihón:ni' nè:'e iah tehshakotitén:ras nón:kwe. 
<MOH id = 201 >	10 Hen, thiionkwè:tate' ienhatíhawe' satsho'kowáhtshera', tsi nahò:ten' saio'tèn:'en akò:ren akó:wen enskénhake'. "Sanaktà:ke enhsia'tión:nike' saronhiá:ken tsi kenhé:ions, sa'wà:ron tánon' saieròn:ta' akwé:kon enwatekhwísa', 
<MOH id = 202 >	12 tánon' enhsì:ron', "Oh niiotié:ren tsi iah nonwén:ton thiakeweientéhta'ne'? Oh niiotié:ren tsi iah nonwén:ton tewakathontá:ton nónhka aiontianakwaríhsi'? 
<MOH id = 203 >	13 Iah tewakatahonhsatá:ton ne ionkerihonnién:ni. Iah othé:nen karì:wa' tekheión:ni. 
<MOH id = 204 >	14 Thontaiawénhstsi wa'káttoke' tsi kanèn:rakon wa'katatéha'te'."
<MOH id = 205 >	15 Shekweniénhsthak ne tesenì:teron tánon' ne sanoronhkhwáhtshera' akaonhà:'a khok tashé:ion. 
<MOH id = 206 >	16 Nónhka akò:ren iakón:kwe shewirá:wi iah ki' ní:se' thé:nen thahsatshennonnià:tahkwe'. 
<MOH id = 207 >	17 Ioterihwíson sheien'okòn:'a nó:nen enhontehià:ron' ne aiesaia'takéhnha', iah nakò:ren nón:kwe ne iah tehsheienté:ri. 
<MOH id = 209 >	18 Satshennonníhak ká:ti' tsi saniá:kon tánon' enhsetshén:ri' atonhnhahráhtshera' tsi kí:ken iakón:kwe seniniá:kon iakonkwe'tí:io 
<MOH id = 211 >	19 tánon' iakoia'táhskats tsi ní:ioht ne oskenón:ton, nó:nen iotoriahnerónkwas. Sheríhon nakowén:na' aonté:son' atshennónnia'; sheríhon ká:ti' taiesahkwatá:se' nakonoronhkhwáhtshera'. 
<MOH id = 212 >	20 Konièn:'a oh niiontié:ren nakò:ren iakón:kwe aontahshé:ion' sanoronhkhwáhtshera'? Oh niiontié:ren tsi ne sénha ahserá:ko' ne ieieron'tí:io nakò:ren ró:ne? 
