<MOH id = 0 >	\id RUT 08RUT.MOH Mohawk Bible Translation
<MOH id = 16 >	\v 7-8 Skáthne wa'konhtén:ti' tsi nón: tsi tionhontsá:ien ne Judah, tsi káti' niioháhes wa'konwatihtháhrhahse', “Satsahtén:ti ietshi’nisten’néha nionsásene'. Aiá:wen's káti' ne Roiá:ner tho ní:ioht tsi ahtshisenirihwakwénienhste' tsi ní:se ní:ioht takenirihwakweniénhsthahkwe' ok ò:ni' tsi nihá:ti ronenhé:ion.
<MOH id = 17 >	\v 9 Tánon' ne Roiá:ner aontónhseke' aontahtshitsatenniéhten' ne tetsá:ron aonseseníniake' tánon' aieseniién:ta’ne' tsi nón: aieseni’terón:take'.”
<MOH id = 18 >	\p Naomi wa’tkonwatinoronhkwánion' tsi ó:nen wa’tkontekháhsi'. Sok tetsá:ron wa'ttiahséntho'.
<MOH id = 19 >	\v 10 Wa’kenì:ron' tsi wa’ontathró:ri', “Iah! Éntewe' tsi nón: thatinákere' ne sonkwe’ta’ó:kon.”
<MOH id = 20 >	\p
<MOH id = 21 >	\v 11 “Ó:nen'k tsi entsitsáhkete' keniien’okòn:’a,” wa’ì:ron' Naomi. “Oh niiotié:ren tsi ísenehre' aiétewe'? Ísenehre' ken tóka' shé:kon aonsonkewiraién:ta’ne' ne rotihsken’rakéhte' ne aonseseníniake'?
<MOH id = 22 >	\v 12 Satsahtén:ti, asé’ken sótsi ó:nen wakekstén:ha naonsonkéniake'. Ok ò:ni' nakéhrheke' tóka' shé:kon aiohrharahtsheraién:take' tánon' òn:wa io'karahtsherá:te' aonkéniake' tánon' tehniiáhse' rotihsken’rakéhte' aonsonkewiraién:ta’ne',
<MOH id = 23 >	\v 13 aietsatehrhá:rate' ken tsi niió:re iahnonkwe’taié:ri’ne'? Né: ken’ taiesení:tahste' ne akò:ren aonseseníniake'? Iah, keniièn:’a, tsaterièn:tare' tsi iah nowén:ton tho thaiá:wen’ne'. Roiá:ner iah tha’teshakerihwahsniè:se' tánon' wake’nikonhkará:rens ne senirihwà:ke.”
<MOH id = 24 >	\p
<MOH id = 25 >	\v 14 Sok á:re tonsatiahséntho'. Thó:ne Orpah wa’tiakonoronkwánion' nakosà:wha tánon' tho nionsá:ien' tsi nón: tienákerehkwe'. Sok ne Ruth ia’ontatié:na' ne Naomi.
<MOH id = 26 >	\v 15 Ok ne Naomi wa’ì:ron', “Ruth tsaríha ó:nen saionhtén:ti' tsi nón: nakohwá:tsire tánon' nakoní:io thatinákere'. Wà:s káti' sásene'.”
<MOH id = 27 >	\p
<MOH id = 28 >	\v 16 Tontakarihwa'será:ko' ne Ruth, “Tóhsa takeri’wanón:tonhs nakoniáhtka'we'! Takeríhon naiétene'. Tsi nón: nienhénhse' tho ki’ ni’ nì:'i nienhén:ke' tsi nón: nenhsi’terón:take' tho ki’ enki’terón:take'. Sonkwe’ta’shòn:’a ì:’i ò:ni' akonkwe’ta’shòn:’a enwá:ton' tánon' Saní:io ì:’i ò:ni' Akení:io enwá:ton'.
<MOH id = 29 >	\v 17 Tsi nón: nenhsíheie' tho ki’ ni’ nì:'i nón: nenkíheie', tho nón:we neniontia'táta'. Tóka' káti' ne Roiá:ner ne tiaonhà:’a ahakhré:wahte', nek enkakwé:ni' ne kenhé:ion, taionkenikháhsi' tóka' enkoniatewén:tehte'!”
<MOH id = 30 >	\p
<MOH id = 31 >	\v 18 Tsi ó:nen Naomi wa’ontkáhtho' ne Ruth tsi wa’onte'nikonhrísa' nákene' iah thé:nen tetsaká:wen.
<MOH id = 32 >	\p
<MOH id = 33 >	\v 19 Ia'tiahtén:ti' káti' tsi niió:re Bethlehem. Shiahà:kenewe' kanatakwé:kon wahontshennón:ni', tánon' konnón:kwe wa'tiotihén:rehte' wa'konnì:ron', “Kwah ken orihwí:io tsi í:se' Naomi?”
<MOH id = 34 >	\p
<MOH id = 35 >	\v 20 “Tóhsa Naomi takwanà:tonhkw,” wa’ì:ron'; “Marah, takwanà:tonhkw, ne kén:ton iotská:ra né: tsi Ro'shatstenhserowá:nen Rawenní:io wahakónnien' tsi tewakatonhnhakárien tsi kónhnhe'.
<MOH id = 36 >	\v 21 Sha’kahtén:ti' ne kèn:'en, wakkwahtshéhne. Nok ne Roiá:ner shatia’tenhá:wi kwah iah thé:nen tesekhá:wi. Oh nontié:ren káti' Naomi ahskwanà:tonhkwe' né: ne Ro'shatstenhserowá:nen Rawenní:io rakerihwénhton tánon' thakwatenniehtén:ni ka’nikonhrharáhtshera'.”
<MOH id = 37 >	\p
<MOH id = 38 >	\v 22 Tho káti' ní:ioht tsi sá:ionwe' Naomi, tsi tionwenhtsá:te' ne Moab; íkene' ne Ruth, akosà:wha ne Moabite na’ehwatsirò:ten'. Tsi wà:kenewe' Bethlehem, kwah ó:nen shontahontáhsawen' ratiienthókwas teiotikonhstòn:rhes.
<MOH id = 39 >	\c 2
<MOH id = 40 >	\s1 Ruth Tsi Thothéhtaien ne Boaz Ia’akoió’ten'
<MOH id = 41 >	\p
<MOH id = 42 >	\v 1 Naomi akohwá:tsire Boaz ronwá:iats, rokwáhtshe' tánon' akwé: ronwari’wakwenniénhstha' ne káti' shahnihwatsí:ra ne ró:nehkwe Elimelech.
<MOH id = 43 >	\v 2 Ruth ia’akotewennontiéhten ne Naomi wa’ì:ron', “Ahskeríhon' ken tsi tkaiénthon niá:ke' tánon' akohrón:ko' óhere' ne rotiió’te' ia'tenhonatá:tere'? Orihwí:io kón:nis tsi ónhka'k enhakeríhon' ne skáthne aionkwaió’ten'.”
<MOH id = 44 >	\p Naomi tontaierihwa'será:ko', “Wà:s ki’ wáhi konièn:’a.”
<MOH id = 45 >	\p
<MOH id = 46 >	\v 3 Sok ki’ ne Ruth, tsi tkahéhtaien niahà:'en ratihsòn:ne í:ien' ronwatíhsere' ne rotiió’te', iakohrónkwas óhere' ne iah tha’tehonéhkwen. Kwah nen' nè:’e tho nón: ia’akoió’ten' tsi nón: thothéhtaien ne Boaz.
<MOH id = 47 >	\p
<MOH id = 48 >	\v 4 Ohna'kénhkha ó:nen sà:rawe' ne Boaz, tsi tkaná:taien ne Bethlehem na'tontà:re', wa’tehshakononhwerá:ton' ne rotiio’ténion, wahèn:ron', “Roiá:ner aiesewakwekónhake'!”
<MOH id = 49 >	\p Tontahonnì:ron', “Roiá:ner ahiaia’taté:rihste'!”
<MOH id = 50 >	\p
<MOH id = 51 >	\v 5 Boaz wahori’wanón:tonhse' ne ohén:ton ì:rate', “Ónhka thí:ken ken’ nitiakoién:ha iakón:kwe?”
<MOH id = 52 >	\p
<MOH id = 53 >	\v 6 Wa’tharihwa'será:ko' ne rón:kwe, “Ne kí:ken nonhwentsakaionhró:non Naomi ískene' tsi tionhwentsá:te' ne Moab.
<MOH id = 54 >	\v 7 Wa’onkeri’wanón:tonhse' nakheríhon' nahonwatíhsere' ne rotiió’te' tánon' aiakohrón:ko' ne óhere'. Ohrhon'kéhstsi shiiakoió’te' kwah òn:wa'k ken’ nikarihwésha tiakotoríshen tsi wahskwáhere'.”
<MOH id = 55 >	\p
<MOH id = 56 >	\v 8-9 Sok ne Boaz iahshakohtháhrhahse' ne Ruth, “Akon’nikòn:ron' tiok nahò:ten' akonhró:ri'. Tóhsa é:ren nón:we ia’sohrón:ko ne óhere'. Kén: sè:shek skáthne sewaió’ten ne konnón:kwe; teshekà:nerak tsi nón: nikontiienthókwas tánon' skáthne sewè:shek. Wa’khehró:ri' nakonkwe’ta’shòn:’a ne tóhsa taiesa’nikonhrhá:ren'. Tánon' nó:nen ensania’táthen' iahà:se tsi nón: tkawero’kwakè:ron tethotihráhton ohné:kanos.”
<MOH id = 57 >	\p
<MOH id = 58 >	\v 10 Ruth onhwentsà:ke niió:re wa’tiontshà:kete' iahonwahtháhrhahse' ne Boaz, “Oh niiotié:ren tsi tehskwa’nikónhrhare' tánon' oh niiotié:ren tsi entehskerihwaié:ritshe' nonhwentsakaionhró:non?”
<MOH id = 59 >	\p
<MOH id = 60 >	\v 11 Boaz tontaharihwa'será:ko', “Akwé:kon wakeriwahrón:ken tsi nihshekweniénhstha' ne iesasà:wha tsi náhe thawenhé:ion ne seniniakòn:ne. Wakaterièn:tare' tsi sheiahtkà:wen ne ia’níha tánon' sa’nisténha tánon' tsi nón: tehsenákerehkwe', ò:ni' kheh nón: enhsenákerate' tsi nón: iah ónhka tehsheienté:ri.
<MOH id = 61 >	\v 12 Aiá:wen's ne Roiá:ner tahiarihwa'serákwahse' tsi nisatié:ren. Aiá:wen's káti' ò:ni' kwah otokèn:en tahiarihwa'serákwahse' ne Roiá:ner Rawenní:io ne Israier tsi kèn:'en nontáhse' nahiaia’tanónhstate'!”
<MOH id = 62 >	\p
<MOH id = 63 >	\v 13 Tontaiaì:ron' ne Ruth, “Kwah í:ken tsi tisarihwaié:ri ne ì:'i akerihwà:ke, Sénhsion. Ion’wé:sen tsi skanonhtónnion tsi ní:ioht tsi tahsekhtháhrhahse', aronhátien iah sha’tetionkwátte' ne iesaio’ténhse'.”
<MOH id = 64 >	\p
<MOH id = 65 >	\v 14 Tsi káti' ia’káhewe' tahontskà:hon' Boaz iahshakohtháhrhahse' ne Ruth, “Kén: nontá:se' tánon' senà:tarak, iahà:sohwh ohnekákeri.” Skáthne wahóntien' ne rotiió’te'. Boaz wahróhetste' ne ó:nen watenénhonte' ká:nen Ruth tahshakó:ion'. Wa’tiontskà:hon' tsi niió:re kwah tokèn:'en wa’akóhta’ne', tánon' shé:kon wa’akotekhwatá:tenre'.
<MOH id = 66 >	\v 15-16 Tsi ó:nen ionsaiontahsónteren' saiakohrón:ko' ne óhere', Boaz wahshakohró:ri' ne rotiió’te', “Sheríhon naiakohrón:ko' ne óhere' ok ò:ni' tsi nón: nikakè:ron ne kahwe’nonniánion tánon' tóhsa thé:nen sewèn:ron ne taietshí:tahste'. Nok ò:ni' tasewatihéntho ne kaia’takwe’ní:io óhere' tsi kahwe’nonniánion eh tho kaién:tak ne tá:ionhkwe'.”
<MOH id = 67 >	\p
<MOH id = 68 >	\v 17 Ruth káti' wa’akohrón:ko' ne óhere' tsi kahéhtaien tsi niió:re o’karahsnéha, tsi ó:nen wa’ehwà:'eke' tewáhsen wísk nikakon'tsherá:ke nia'ká:ko'.
<MOH id = 69 >	\v 18 Ionsaiéhawe' kaná:takon, wa’ontatena’tón:hahse' nontatshà:wha tsi ní:kon wa’erò:roke'. Tánon' ò:ni' wa’ontátenonte' tsi ní:kon iakotatén:ron nakotennà:tshera'.
<MOH id = 70 >	\v 19 Naomi wa’ontateri’wanón:tonhse', “Ka’ nón: wahserò:roke' tsi ní:kon ká:nen shá:wi? Ónhka raohéhta' tsi nón: wesaió’ten'? Aiá:wen's káti' ne Rawenní:io ahoia’taté:rihste' ne rón:kwe ne wa’thiarihwáhsnie’se'!” Ruth wa’ontathró:ri' Naomi, tho nón: ia'akoió’ten' tsi nón: thothéhtaien ne Boaz.
<MOH id = 71 >	\p
<MOH id = 72 >	\v 20 Naomi wa’ontshennón:ni' wa’ì:ron', “Aiá:wen's Roiá:ner ahoia’taté:rihste' ne Boaz! Ne Roiá:ner iah tesho’nikónhrhen's nahò:ten' enhshakohrharátsten' ne iakónhnhe' ok ò:ni' ne iakawenhé:ion.” Tánon' ò:ni' wa’ì:ron', “Thí:ken rón:kwe kwah ákta tsi tewatátenonhkwe' roterihwaién:ni tahshonkeníhsnie’ne'.”
<MOH id = 73 >	\p
<MOH id = 74 >	\v 21 Wa’ì:ron' Ruth, “Né: ne aonhà:’a onkwerien'tí:io', wahakhró:ri' iakkón:tahkwe' tsi kohrónkwas ne óhere' tánon' skáthne ne ronwaio’ténhse' aiakwè:sheke' tsi niió:re ienhatíhsa' tsi ratiienthókwas.”
<MOH id = 75 >	\p
<MOH id = 76 >	\v 22 Naomi ia'ontaththáhrháhse' ne Ruth, “Hen, konièn:’a nè:’e ioiánere' skáthne aiesewaió’ten' ne konnón:kwe tsi thothéhtaien Boaz. Tóka' nòn:wa aiesaiesáhton tóka' é:ren nón: tkahéhtaien niaiesé:non.”
<MOH id = 77 >	\v 23 Tho káti' Ruth skáthne wahotiió’ten' wa’erò:roke' tsi niió:re tontsháhte' ò:ni' ne teiotikonhstòn:rhes tánon' ne onátsa'. Tánon' taiekón:tahkwe' skáthne kenì:teron nontatshà:wha.
<MOH id = 78 >	\c 3
<MOH id = 79 >	\s1 Ruth Wa’enahkwatshén:ri'
<MOH id = 80 >	\p
<MOH id = 81 >	\v 1 Ohna'kénhkha káti' Naomi ia'ontaththáhrhahse' ne Ruth, “Ó:nen'k tsi enkonnahkwatshénria'se' ó:nen ki’ nen' nè:’e ensanonhsó:ta’ne'.
<MOH id = 82 >	\v 2 Sehià:rak. Ne kí:ken rón:kwe Boaz tewatátenonhkwe'; ne kí:ken konnón:kwe ronwaio’ténhse' skáthne sewaió’tehkwe'. Satahónhsatat. Òn:wa io’karahtsherá:te' enhatihwà:'eke' ne teiotikonhstòn:rhes.
<MOH id = 83 >	\v 3 Satá:wen tánon' iontia’takonhstáhkhwa' satéhrho tánon' satia’tahserón:ni kwah tioiánere' sá:ien atsherónnia'. Thó:ne eh tho iénhse' tsi nón: thahwà:’eks nok ki’ tóhsa ráttok tsi tho íhse's tsik enhóhta’ne' tánon' tsi rohnekì:ren.
<MOH id = 84 >	\v 4 Orihwí:io són:ni tsi nón: nenhá:rate', tánon' nó:nen ienhó:ta’we', eh tho iahà:se' tánon' tashará:tat ne róhere' tánon' rahsi’tákta enhsá:rate'. Raónha enhiahró:ri' tsi nénhsiere'.”
<MOH id = 85 >	\p
<MOH id = 86 >	\v 5 Ruth tontaierihwa'será:ko', “Akwé:kon tho néntiere' tsi nahò:ten' wahsekhró:ri'.”
<MOH id = 87 >	\p
<MOH id = 88 >	\v 6 Tho káti' Ruth niahà:'en' tsi nón: thatihwà:’eks eh tho naié:iere' tsi nahò:ten' wa’ontathró:ri' nontatshà:wha.
<MOH id = 89 >	\v 7 Tsi ó:nen Boaz wahóhta’ne' ò:ni' tsi rohnekì:ren, kwah í:ken ion’wé:sen tsi ranonhtónnion. Tho niahà:re' tsi nón: tio’tón:iote' teiotikonhstòn:rhes eh tho wahá:rate' tánon' wahó:ta’we'. Ruth kwah skenèn:’a tho niahà:'en' taiehará:tate' ne róhere' tánon' tho wa’ón:rate' rahsi'tákta.
<MOH id = 90 >	\v 8 Tsi káti' niwahsón:tes thontaiawénhstsi' wahá:ie', wahatkahrhátho' wahonehrá:ko' tsi iakón:kwe ieia’tión:ni rahsi'tákta.
<MOH id = 91 >	\v 9 “Ónhka ní:se'?” wahari’wanón:ton'.
<MOH id = 92 >	\p Tontaierihwa'será:ko', “Sénhsion, Ruth kí:ken ne tsi ákta tsi tiatátenonhkwe', í:se' káti' saterihwaién:ni tahsékhsnie’ne'. Ahsathontátsheke' káti' naionkeníniake'.”
<MOH id = 93 >	\p
<MOH id = 94 >	\v 10 Wahèn:ron', “Roiá:ner ahiaia’taté:rihste'. Wè:ne' se'nehstonhátie' tsi sénha serihwakweniénhstha' ne kahwá:tsire tsi nihsatiéhrha' nòn:wa, tsi nihsheiatierà:se' iesasà:wha. Aiotòn:’on aiesesá:kon sénha ken’ nithoién:ha tóka' rokwáhtshe' tóka' ni’ ró:ten nek tsi iah ki’ tho tesaié:ren.
<MOH id = 95 >	\v 11 Tóhsa káti' tesatate’nikonhrhá:ren Ruth. Akwé:kon tho néntiere' nahò:ten' wahseri’wanón:ton' áse’ken akwé:kon tsi niiá:kon nonkwaná:takon ronaterièn:tare' kí:ken són:kwe tehsonkwe’taié:ri.
<MOH id = 96 >	\v 12 Tó:kenske tsi ákta tewatátenonhkwe' tánon' wakaterihwaién:ni ne takónhsnie’ne'. Nek tsi rón:kwe sénha ákta tsatátenonhkwe' tsi ní:ioht nì:’i.
<MOH id = 97 >	\v 13 Kèn:’en sè:shek tsi niwahsón:tes tánon' ohrhon’kè:ne entenirihwatshén:ri' tóka' ken enharihwanòn:we’ne' ne raónha tahiáhsnie’ne'. Tóka' enharihwanòn:we’ne' ioiánere', tóka' iah thaharihwanòn:we’ne', enkerihwahní:rate' káti' raohén:ton ne Roiá:ner tsi ì:’i ki' wakaterihwaién:ni takónhsnie’ne'. Kén: sè:shek tánon' sá:rat tsi niió:re ohrhon’kè:ne.”
<MOH id = 98 >	\p
<MOH id = 99 >	\v 14 Tho káti' wa’ón:rate' rahsi'tákta, wa’ontkétsko' ohén:ton tsi niió:re wa'tiohswáthe'ne' ne tóhsa ónhka aiontátken' né: tsi iah tha'tehotonhwentsó:ni ónhka aiakotó:kenhse' tsi eh tho í:ien'skwe'.
<MOH id = 100 >	\v 15 Boaz wahshakohró:ri', 
<MOH id = 101 >	“Seríhsi ne sateweià:ra kén: testá:kwariht.” Eh tho ki’ na’é:iere'. Sok ki' taháweron' teiotikonhstòn:rhes, tóka' wésk niwáhsen nikakon'tsherá:ke tánon' wahshakohsnié:nen' iehnenhsà:ke tahà:ren'. Ionsaiéhawe' kaná:takon nionsá:ien'.
<MOH id = 102 >	\v 16 Tsi káti' ó:nen ionsaión:we' ontatshà:wha wa'ontateri’wanón:tonhse', “Oh káti' niahesarì:wawen' konièn:’a?”
<MOH id = 103 >	\p Ruth akwé:kon wa’ontathró:ri' tsi nahshakotié:ra’se' ne Boaz.
<MOH id = 104 >	\v 17 Saiaì:ron', “Wahakhró:ri' tóhsa taontá:ke' ne iah thé:nen thakhá:wi' né: káti' kí:ken niiawè:ta' teiotikonhstòn:rhes wahá:kon'.”
<MOH id = 105 >	\p
<MOH id = 106 >	\v 18 Naomi wa’ì:ron', “Satenòn:na Ruth, tsi niió:re ia'tenkarihwaién:ta’ne'. Iah thahatoríshen' nòn:wa wenhniserá:te' tsi niió:re enharihwakwatá:ko'.”
<MOH id = 107 >	\c 4
<MOH id = 108 >	\s1 Boaz Wahotíniake' Ruth
<MOH id = 109 >	\p
<MOH id = 110 >	\v 1 Boaz eh tho niahà:re' tsi rontkennisa’ahtháhkhwa' eh tho iahátien'. Né: káti' kí:ken rón:kwe Boaz ohén:ton thonà:ton kwah sénha ákta iatátenonhkwe ne Elimelech, eh tho wahokè:tohte' Boaz, tahò:nonke', “Kén: nontá:se', ontiatén:ro, tánon' sátien.” Tho ki' niahà:re' tánon' wahátien'.
<MOH id = 111 >	\v 2 Thó:ne ó:nen Boaz tánon' oié:ri nihá:ti ne ohén:ton rón:nete' ne kaná:takon wahshakori’wanón:tonhse' skátne ahóntien'. Tsi káti' ó:nen akwé:kon wahóntien'.
<MOH id = 112 >	\v 3 Iahohtháhrhahse' ne iatátenonhkwe, “Kí:ken Naomi, Moab na’tontá:ien' ionhská:neks naiontenhní:non' tsi thothéhtaien tewatátenonhkwe Elimelech. Tánon' kanonhtónnion teiotonhwentsóhon aiesató:kenhse' tsi nikarihò:ten'.
<MOH id = 113 >	\v 4 Tóka' káti' tesatonhwenhtsó:ni nahshní:non' raotihén:ton kí:ken kèn:’en ratitskó:ton, shní:non. Tóka' káti' iah tha'tesatonhwentsó:ni tsì:ron ki’, áse’ken ne tiotierénhton í:se' sate'shén:naien thó:ne ó:nen ì:’i.”
<MOH id = 114 >	\p Thó:ne ó:nen wahèn:ron' ne rón:kwe, “Í: enkhní:non'.”
<MOH id = 115 >	\p
<MOH id = 116 >	\v 5 Wahèn:ron' Boaz, “Tóka' káti' Naomi enhshehehtahní:non' ne ki' énkene' Ruth, kí:ken Moabite iakotenhrè:’ons ne káti' rawenhé:ion raohéhta' kahwatsí:rakon enkaién:take'.”
<MOH id = 117 >	\p
<MOH id = 118 >	\v 6 Wahèn:ron' ne rón:kwe, “Ne aorì:wa' enskáhtka’we' nakhní:non' ne kahéhta' né: tsi iah thahatiié:na' ne kheien’okòn:’a. Í:se' káti' shní:non tonsonkwaterihwaténien'.”
<MOH id = 119 >	\p
<MOH id = 120 >	\v 7 Ne tho nón: shontakahá:wi nahatirì:wenhte' nahò:ten' watkè:ron tóka' ni’ tahontá:ton' ne kahéhta' tsi nikaianerenhserò:ten' ne rotkè:ron enharíhsi' ne raóhta tánon' ienhó:ion' ne wahahní:non'. Tho nihotiianerenhsero'ténhne ne Israerehró:non tsi ó:nen onterihwakwatá:ko'.
<MOH id = 121 >	\p
<MOH id = 122 >	\v 8 Tsi káti' ó:nen kí:ken rón:kwe wahohró:ri' ne Boaz, “Í:se' shní:non,” waharíhsi' ne raóhta tahó:ion' ne Boaz.
<MOH id = 123 >	\v 9 Wahèn:ron' Boaz, né: kí:ken ohén:ton rón:nete' ok ò:ni' ne ronátia’ke kén: rón:ne's akwé:kon, “Í:se ensewarihwahní:rate' òn:wa wenhniserá:te' tsi akwé:kon wakhní:non ne Naomi tsi nahò:ten' rotiién:tahkwe' ne Elimelech tánon' shakotiien’okòn:’a Chilion tánon' Mahlon.
<MOH id = 124 >	\v 10 Né: ò:ni' kí:ken Ruth, Moabite na'ehwatsirò:ten' Mahlon ró:nehkwe', enionkeníniake'. Né: káti' rawenhé:ion raohsén:na' enkatátie' tsi kahéhtaien tánon' tsi nén:we' enkahwatsiratátie' enhonwehià:rake' tsi nón: nihanákerehkwe'. Òn:wa wenhniserá:te' káti' í:se' ensewarihwahní:rate'.”
<MOH id = 125 >	\p
<MOH id = 126 >	\v 11 Né: káti' kí:ken ohén:ton rón:nete' tánon' ronátia’ke eh tho rón:ne's wahonnì:ron', “Hen, ì:’i ki’ eniakwarì:wenhte'. Aiá:wens káti' Roiá:ner ahshakoia’taté:rihste' eh tho naieia’to’ténhake' seniniákhe' tsi na'tekeniia’to’ténhne ne Rachel tánon' Leah, é:so iotiwiraientà:’on Jacob raorihwà:ke. Aiá:wens aiesakwátshe’ne' ken’tà:rakon ne Ephrath tánon' ahtshennowáhnha' tsi nón: ne Bethlehem.
<MOH id = 127 >	\v 12 Aiá:wens káti' kí:ken ken' nitiakoién:ha Roiá:ner aontahshakotenniéhten' ratiksa’okòn:’a eh tho naióhton ne sahwá:tsire tsi ní:ioht ne nihatihwatsirò:ten' ne Perez, ronwaièn:’a ne Judah tánon' Tamar.”
<MOH id = 128 >	\s1 Boaz Tánon' Raohwatsire’kénha
<MOH id = 129 >	\p
<MOH id = 130 >	\v 13 Boaz iahshakoia’ténhawe' ne ró:ne Ruth tsi nón:we thèn:teron. Roiá:ner wahshakoia'taté:rihste' tánon' wa’ontháwa' wahrennákerate' raksà:’a.
<MOH id = 131 >	\v 14 Konnón:kwe wa’ontathró:ri' Naomi, “Tshennakará:tat ne Roiá:ner! Tahiatenniéhten' òn:wa wenhniserá:te' tshaterè:’a ne ahiaia’takéhnha'. Aiá:wens ne raksà:’a ahahsennowáhnha' ne Israer!
<MOH id = 132 >	\v 15 Shesà:wha iesanorónhkhwa' ne sénha iesaia’takéhnhen tsi ní:ioht ne tsá:ta nihá:ti aiesawiraién:take'. Tánon' nòn:wa tshaterè:’a saiesá:ion'. Á:se' enshrón:ni' tsi sónhnhe' tánon' ò:ni' enthiá:ion' skén:nen ahsanonhtónnionhwe' nó:nen ensakstén:ha’ne'.”
<MOH id = 133 >	\v 16 Naomi, kwah ieia’tákta tsi wahonwaié:na' ne raksà:’a tánon' akaónha wahonwaten’nikòn:raren'.
<MOH id = 134 >	\p
<MOH id = 135 >	\v 17 Kí:ken konnón:kwe ne tho kontinákere' wahonwahsén:non' kí:ken raksà:’a Obed. Wa’tkonterihwarénia’te' akwé:kon aiakotó:kenhse', “Raksà:’a wahrennákerate' Naomi ronwaièn:’a!” (Tho nihatiweieno’ténhne ne tho shontakahá:wi.)
<MOH id = 136 >	\p Obed káti' ieshoièn:’a ne Jesse tánon' ne ieshoièn:’a ne Tá:wit.
<MOH id = 137 >	\p
<MOH id = 138 >	\v 18-22 Né: káti' kí:ken wa’kahwatsiratátie' ne Perez tánon' tsi niió:re Tá:wit. Perez roièn:’a ne Hezron, Ram, Amminadab, Nahshon, Salmon, Boaz, Obed, Jesse, Tá:wit.
