<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 17 >	Tánon' oh káti' né: nihoié:ren ne Rawenní:io naionkwaterihwahténtia'se' ne raonhà:ke niaiétewe'? Rawenní:io akwé:kon eh nihóhson! Thotórion ne Kerístos skén:nen ahrón:ni' tsi na'tetewátere', nok ki' shonkwaio'tenhserá:wi ne skén:nen aietión:ni' tsi na'tehóntere' nakohrèn:shon tánon' ne raónha. Tsi nahò:ten' iakwén:tons ne Rawenní:io nikwé:kon ne Kerístos shakó:wis ne skén:nen ò:ni' naonsahshako'nikónhrhen'se' ne kèn:'en ronnonhontsa'kehró:non. Nok ì:'i shonkwaio'tenhserá:wi ne aiethiiohétsta'se' ne raoterihwahnotáhtshera' tsi nonkwá: ne skén:nen. 
<MOH id = 18 >	(5:18,19)
<MOH id = 19 >	Tiotahsawáhkwen 
<MOH id = 20 >	Kó:r ki' tánon' natate'kèn:sera' Timothy nón: nitiawé:non, iaterihwahnótha', ronwaterihwahnotá:ni ne Ié:sos Kerístos, né: tsi eh tho nitho'nikonhriiò:'on ne Rawenní:io. Tánon' tsi niiá:kon ne tiakawehtáhkwen tho nón: ne Corinth, ronatia'tarò:ron ronwahsén:naiens ne 
<MOH id = 21 >	
<MOH id = 22 >	
<MOH id = 23 >	****** Result for Image/Page 3 ******
<MOH id = 24 >	3 
<MOH id = 25 >	2 CORINTHIANS 1 
<MOH id = 26 >	Rawenní:io, tánon' ò:ni' tsi niiá:kon ne Rawenní:io raonkwe'ta'shòn:'a's tsi watonhóntsaien ne Achaia. Wakaterén:naien ne Rawenní:io shonkwa'níha ò:ni' ne Roiá:ner Ié:sos Kerístos aontahorihwaié:rike' ne tionhà:ke, ò:ni' ne ahtshisewaia'taterístahkwe' ne skén:nen. 
<MOH id = 27 >	
<MOH id = 28 >	
<MOH id = 29 >	Kó:r Wa'thatenonhwerá:ton'
<MOH id = 30 >	
<MOH id = 31 >	
<MOH id = 32 >	Ahonwahsén:naien' Rawenní:io, ne roièn:'a ne Shonkwaiá:ner Ié:sos Kerístos! Ne Ka'níhsera' kwah se' rotennitenráhtskon ne Rawenní:io, tsi niká:ien tió:konte' tehshonkwá:wis ne ka'nikonhrahniráhtshera'. Shonkwa'nikonhrahní:rats nó:nen thé:nen teionkwa'nikónhrhare', eh káti' naióhton tsi aonsaiethi'nikonhrahní:rate' ne otia'kéhshon nó:nen thé:nen tehona'nikónhrhare'. Ionkwatià:tare' tsi na'teiotenonhianíhton tsi ní:ioht tsi roronhiakèn:'en ne Kerístos, nok ne káti' á:re tsi niiorihwanehrákwaht tsi ní:ioht tsi sehshonkwa'nikonhraie'wénthos. Ionkwaronhiá:ken tsi niiakwahská:neks ní:se' ne aiesewa'nikonhrén:ta'ne', ò:ni' ne aiesewa'niá:ken'ne'. Tsi nì:'i niionkhi'nikonhraie'wénthos, í:se' ò:ni' tho ní:ioht tsi aiesewa'nikonhriióhake', tsi kwah skén:nen tsi aiesewahkátsteke' tsi nì:'i ní:ioht ne onkwatia'kéhshon. Iah nowén:ton tehskwarahia'táhkwen. Eh nisewaronhiakèn:'en tsi ní: ní:ioht, ò:ni' ki' ionkwaterièn:tare' tsi eh ní:ioht tsi entsetshi'nikonhraie'wénthohte' tsi ki' nì:'i niiawèn:'en. Tewatenro'shòn:'a, tewakatonhontsó:ni ne akwahronkà:ten' tsi na'akwaiésha' tho nón: ne Asia. Nonkwaronhiakénhsera' kwah ísi' nón:we tsi niiotteronhtòn:ne kwahs iah tetsakwatkwénie's, káti' ákta ia'akwakwátho' naionkwenhé:ion. Kwah se' eh tho ní:ioht 
<MOH id = 33 >	
<MOH id = 34 >	
<MOH id = 35 >	****** Result for Image/Page 4 ******
<MOH id = 36 >	4 
<MOH id = 37 >	2 CORINTHIANS 1 
<MOH id = 38 >	tsi iakwattó:kaskwe' tsi eniakwénheie'. Wa'kakwé:ni' tsi wa'akwátka'we' tsi ì:'i iakwatateniahé:sen nok taiakwatáhsawen' Rawenní:io sahshakwaniáhese', tsi niká:ien ne sehshakaónhnhets ne iakawenhé:ion. Rawenní:io sahshonkwaià:tako' tsi ní:ioht tsi teionkwatenharenronhkwén:ni ne kenhé:ia't, ò:ni' kwah orihwí:io wa'atión:ni' tsi shé:kon eh nenshá:iere'. Ensehshonkwa'niá:kenhte' tiorì:wa tsi ne takwaienawà:se' tsi takwaterennaién:nis. Tsi neniá:wen'ne', iakotiohkowá:nen tenhonwanonhwerá:ton' ne Rawenní:io tiorì:wa iakotiohkowá:nen iakoterennaién:tahkwe' nonkwaia'tanonhstáhtshera' ò:ni' teioterihwa'serákwen. 
<MOH id = 39 >	
<MOH id = 40 >	
<MOH id = 41 >	Kó:r Tonsahatá:ton' ne Orihwa'shòn:'a 
<MOH id = 42 >	
<MOH id = 43 >	
<MOH id = 44 >	Tsi Nithorihwíson 
<MOH id = 45 >	
<MOH id = 46 >	
<MOH id = 47 >	Enwá:ton' ne aiakwatená:iehste' tsi niwè:ne' ne onkwerien'tiióhtshera'. Tiotkonhón:we iotkwénie's ò:ni' tkarihwaié:ri tsi ní:ioht tsi ionkwatenhniseraténion, kwah sénha nó:nen í:se' skátne tewakwekonhatié'skwe'. Ò:ni' ne ionkwaia'tanonhnenhátie'skwe' ne iorihwanéhrakwa Rawenní:io raonoronhkhwáhtshera', iah ki' tho té:ioht tsi ní:ioht ne kenh ionhóntsate' aorihonnienníhtshera'. Iah ne té:ken tsi iekwahiatón:ni tóka' ken iah thaiesewakwé:ni' ne aiesewawennahnó:ton' tánon' iah thaiesewa'nikonhraién:ta'ne'. Aiá:wen's ki' kwah tokèn:'en tsi aiesewa'nikonhraién:ta'ne'. Kwah káti' ó:nen ostón:ha takwa'nikonhraién:ta's. 
<MOH id = 48 >	
<MOH id = 49 >	
<MOH id = 50 >	Ne káti' nó:nen ne Shonkwaiá:ner Ié:sos ténthre', kwah eh tho ní:ioht tsi ahskwahsennakará:tate' tsi nì:'i nikwatierà:se'. Kwah se' orihwí:io wakonnì:ne tsi takwakweniénhstha', eh ní:ioht tsi kate'nikonhrón:niskwe' í:se' tentisewáhente' ne iaonsakwanatahré:nahse'. Ok nà:'a nen' nè:'e teiorì:wake 
<MOH id = 51 >	
<MOH id = 52 >	
<MOH id = 53 >	****** Result for Image/Page 5 ******
<MOH id = 54 >	5 
<MOH id = 55 >	2 CORINTHIANS 1 
<MOH id = 56 >	iesewaia'tateríston tsi ienkwanatahré:nahse'. Énska tsi niewaké:non ne Macedonia tánon' shé:kon tsi na'tetewaké:non ne tho nón:we. Eh thó:ne enwá:ton' ne Judea nón:we iaonsahskwaténniehte'. Káton ken ísewehre' iah tewá:tons ne ia'taonkerihwaién:ta'se' oh nakátiere'? Káton ken ne testiatié:ren ne ónhka ne khok ne ión:ton 
<MOH id = 57 >	
<MOH id = 58 >	
<MOH id = 59 >	"Hen káton iah" kwah ne khok ne aontahonwati'nikonhraié:rite' ne akohrèn:shon? Rawenní:io iotòn:'on nahonwaniáhese', ì:'i ò:ni', nó:nen enkì:ron' tsi ní:kon tekwarihwa'serakwén:ni tió:konte' "Hen niehé:ken iah nowén:ton tóka' ken ne iah akénhake'." Ne Ié:sos Kerístos Rawenní:io roièn:'a tiotkonhón:we "rotateweiennentà:'on ò:ni' iah nowén:ton tehoterihwaiesáhton." Ò:ni' raónha ne Silas, Timothy, tánon' nì:'i tsi kwahró:ri. Kerístos akwé:kon "Hen" niehé:ken tsi ní:kon rohrharátston ne Rawenní:io. Ne aorì:wa' raónha ne Kerístos shonkwahró:ris "Eh tho neniá:wen'." Nok nì:'i entewèn:ron' tho raoia'tanehrakwáhtshera' ne Rawenní:io. Ne káti' aorì:wa' ne Rawenní:io eh niwatié:sen tsi skátne tehshonkwatáhstha' ne Kerístos kwah aiorihwahnirónhake'. Rawenní:io se' wáhi shonkwaia'tarákwas. Ò:ni' ró:ton ne Rao'nikonratokénhti nonkweriahnéhshon ne awe'néhston tsi raónha se' raonkwe'ta'shòn:'a. Rawenní:io se' wahakerihwahní:ratshe' wa'tháktahste' tsi iah thiewaké:non ne Corinth, né:ne tóhsa sótsi akwate'niakátsta'se'. Iah ì:'i teiakwaia'takwe'ní:io's ne akwahró:ri' nahò:ten' aontesewéhtahkwe'. Nok skátne ionkwaió'te' oh naiá:wen'ne' ne aiesewatonhnhà:rake', ne tsi sewarihwahní:ron tsi tisewehtáhkwen. 
